Catégories,,Tarifs 2023 (€/m²),,,,
Catégories,Nom,secteur 1,secteur 2,secteur 3,secteur 4,secteur 5
ATE1,ateliers artisanaux,"24,7","31,2","41,3","58,1","72,5"
ATE2,"locaux utilisés pour une activité de transformation, de manutention ou de maintenance ","28,8","36,2","44,8","52,7","61,1"
ATE3,"chenils, viviers et autres locaux assimilables",14,"17,5","20,9","24,4","28,1"
BUR1,locaux à usage de bureaux d’agencement ancien,"92,7","103,5","115,4","122,9","128,4"
BUR2,locaux à usage de bureaux d’agencement récent ,"93,3","100,6","107,8","116,4","129,1"
BUR3,locaux assimilables à des bureaux mais présentant des aménagements spécifiques,"26,9","73,7","97,8","103,6","106,4"
CLI1,cliniques et établissements hospitaliers ,"71,7","86,3","100,7","115,2","128,7"
CLI2,"centres médico-sociaux, centres de soins, crèches, haltes-garderies ","71,7","90,6","116,5","124,4","137,5"
CLI3,"maisons de repos, maisons de retraite (médicalisées ou non) ","86,3",117,"122,3",130,"137,5"
CLI4,"centres de rééducation, de thalassothérapie, établissements thermaux","86,3","114,8","122,3",130,"137,5"
DEP1,lieux de dépôt à ciel ouvert et terrains à usage commercial ou industriel ,"20,4","23,9","27,4","30,3","33,9"
DEP2,lieux de dépôt couverts ,"25,9","29,8",41,43,51
DEP3,parcs de stationnement à ciel ouvert ,"1,3",4,"20,8","45,8","70,5"
DEP4,parcs de stationnement couverts ,"24,3","31,5","40,2","44,8","49,2"
DEP5,installations spécifiques de stockage,"21,4","26,8","32,1","37,3","42,7"
ENS1,écoles et institutions privées exploitées dans un but non lucratif,"28,7","30,3",32,"33,5","35,1"
ENS2,établissements d’enseignement à but lucratif,"61,4","64,1","95,6","98,7",102
HOT1,"hôtels « confort » (4 étoiles et plus, ou confort identique) ","53,1","110,2",114,"117,6","121,4"
HOT2,"hôtels « supérieur » (2 ou 3 étoiles, ou confort identique) ","36,5","64,8",73,"81,5","89,6"
HOT3,"hôtels « standard » (1 étoile, ou confort identique) ","36,5","64,8",73,"81,3","89,5"
HOT4,"foyers d’hébergement, centres d’accueil, auberges de jeunesse","38,7","64,8",73,"81,3","89,5"
HOT5,"hôtels-clubs, villages de vacances et résidences hôtelières","52,4",55,"88,4","104,8","121,4"
IND1,établissements industriels nécessitant un outillage important autres que les carrières et assimilés ,"27,6","31,5","45,3","45,5","45,5"
IND2,carrières et établissements assimilables,"7,4","7,4","7,4","7,4","7,4"
MAG1,boutiques et magasins sur rue,47,"81,4","102,5","123,8","169,6"
MAG2,commerces sans accès direct sur la rue ,39,"61,9","84,5","103,5","125,2"
MAG3,magasins appartenant à un ensemble commercial ,"67,7","99,8","128,7",166,"211,2"
MAG4,magasins de grande surface (surface principale comprise entre 400 et,"33,1","56,7","77,9","101,3","124,8"
MAG5,magasins de très grande surface (surface principale supérieure ou égale à,"40,8","51,2","61,4","71,5","82,6"
MAG6,"stations-service, stations de lavage et assimilables ","37,1","54,3","71,5","88,7","106,2"
MAG7,marchés,"85,5","99,7","113,9","128,3","148,5"
SPE1,salles de spectacles et locaux assimilables ,"44,1","46,3","48,5","50,7","53,1"
SPE2,établissements ou terrains réservés à la pratique d’un sport ou à usage de spectacles sportifs ,"9,6","20,3","31,2","41,7","52,6"
SPE3,salles de loisirs diverses ,"21,8","40,4","59,2","77,8","96,4"
SPE4,"terrains de camping confortables (3 étoiles et plus, ou confort identique)","2,7","2,7","2,7","2,7","2,7"
SPE5,"terrains de camping ordinaires (1 ou 2 étoiles, ou confort identique) ",2,2,2,2,2
SPE6,établissements de détente et de bien-être ,"29,6","29,6","81,3","81,3","81,3"
SPE7,"centres de loisirs, centres de colonies de vacances, maisons de jeunes","13,6","20,4","27,4","59,8","92,1"
