Commune,Population,Taux global de taxe foncière sur les propriétés bâties (TFB),Taux global de taxe foncière sur les propriétés non bâties (TFNB),Taux de cotisation foncière des entreprises (CFE),SECTEUR_CFE_Base,TARIF_M2,BASE,CFE,TFB,ZRC,Taux d'exonération,Total d'impôts à payer,libelle
ABZAC,504,"40,31","114,06","26,44",1,"40,8",142800,"37756,32","28781,34",0,0,"66537,66",47.11F Hypermarchés
AGRIS,867,"45,2","125,54","24,76",1,"40,8",142800,"35357,28","32272,80",0,0,"67630,08",47.11F Hypermarchés
AIGRE,1618,"44,68","101,48","25,12",2,"51,2",179200,"35871,36","40033,28",0,0,"75904,64",47.11F Hypermarchés
ALLOUE,474,"44,22","120,32","27,04",1,"40,8",142800,"38613,12","31573,08",0,0,"70186,20",47.11F Hypermarchés
AMBERAC,312,"49,28","124,34","29,48",1,"40,8",142800,"42097,44","35185,92",0,0,"77283,36",47.11F Hypermarchés
AMBERNAC,386,"40,67","131,22","27,15",1,"40,8",142800,"38770,2","29038,38",0,0,"67808,58",47.11F Hypermarchés
ANAIS,589,"41,19","95,23","28,2",2,"51,2",179200,"40269,6","36906,24",0,0,"77175,84",47.11F Hypermarchés
ANGEAC CHAMPAGNE,512,"35,54","91,83","25,46",2,"51,2",179200,"36356,88","31843,84",0,0,"68200,72",47.11F Hypermarchés
ANGEAC CHARENTE,327,"39,34","91,91","25,46",1,"40,8",142800,"36356,88","28088,76",0,0,"64445,64",47.11F Hypermarchés
ANGEDUC,128,"37,82","78,7","24,81",1,"40,8",142800,"35428,68","27003,48",0,0,"62432,16",47.11F Hypermarchés
ANGOULEME,43290,"62,43","124,18","26,53",4,"71,5",250250,"37884,84","78115,54",0,0,"116000,38",47.11F Hypermarchés
ANSAC SUR VIENNE,850,45,"132,89","25,87",2,"51,2",179200,"36942,36","40320,00",0,0,"77262,36",47.11F Hypermarchés
ARS,727,"41,6","103,79","25,46",2,"51,2",179200,"36356,88","37273,60",0,0,"73630,48",47.11F Hypermarchés
ASNIERES SUR NOUERE,1271,"40,76","93,52","26,53",1,"40,8",142800,"37884,84","29102,64",0,0,"66987,48",47.11F Hypermarchés
AUBETERRE SUR DRONNE,351,"54,67","110,97","23,8",2,"51,2",179200,"33986,4","48984,32",0,0,"82970,72",47.11F Hypermarchés
AUNAC SUR CHARENTE,601,"45,72","107,06","27,49",1,"40,8",142800,"39255,72","32644,08",0,0,"71899,80",47.11F Hypermarchés
AUSSAC-VADALLE,524,"49,87","123,55","26,64",1,"40,8",142800,"38041,92","35607,18",0,0,"73649,10",47.11F Hypermarchés
BAIGNES STE RADEGONDE,1268,"52,81","113,33","24,81",1,"40,8",142800,"35428,68","37706,34",0,0,"73135,02",47.11F Hypermarchés
BALZAC,1386,"45,62","102,17","26,53",2,"51,2",179200,"37884,84","40875,52",0,0,"78760,36",47.11F Hypermarchés
BARBEZIERES,129,"46,64","113,02","22,83",2,"51,2",179200,"32601,24","41789,44",0,0,"74390,68",47.11F Hypermarchés
BARBEZIEUX ST HILAIRE,4891,"44,27","99,56","24,81",1,"40,8",142800,"35428,68","31608,78",0,0,"67037,46",47.11F Hypermarchés
BARDENAC,231,"47,92","86,84","23,8",2,"51,2",179200,"33986,4","42936,32",0,0,"76922,72",47.11F Hypermarchés
BARRET,1074,"45,02","95,44","24,81",2,"51,2",179200,"35428,68","40337,92",0,0,"75766,60",47.11F Hypermarchés
BARRO,421,52,"91,87","24,62",2,"51,2",179200,"35157,36","46592,00",0,0,"81749,36",47.11F Hypermarchés
BASSAC,524,"42,95","100,51","25,46",1,"40,8",142800,"36356,88","30666,30",0,0,"67023,18",47.11F Hypermarchés
BAZAC,146,"42,48","81,42","23,8",2,"51,2",179200,"33986,4","38062,08",0,0,"72048,48",47.11F Hypermarchés
BEAULIEU-SUR-SONNETTE,204,"41,34","119,29","26,76",1,"40,8",142800,"38213,28","29516,76",0,0,"67730,04",47.11F Hypermarchés
BECHERESSE,300,"37,52","78,49","24,81",1,"40,8",142800,"35428,68","26789,28",0,0,"62217,96",47.11F Hypermarchés
BELLEVIGNE,1333,"34,4","86,83","25,46",1,"40,8",142800,"36356,88","24561,60",0,0,"60918,48",47.11F Hypermarchés
BELLON,146,"47,76","86,76","23,8",1,"40,8",142800,"33986,4","34100,64",0,0,"68087,04",47.11F Hypermarchés
BENEST,318,"42,78","123,51","28,66",1,"40,8",142800,"40926,48","30544,92",0,0,"71471,40",47.11F Hypermarchés
BERNAC,486,"51,91","99,09","24,62",1,"40,8",142800,"35157,36","37063,74",0,0,"72221,10",47.11F Hypermarchés
BERNEUIL,311,"37,3","101,33","24,81",1,"40,8",142800,"35428,68","26632,20",0,0,"62060,88",47.11F Hypermarchés
BESSAC,112,"36,33","75,7","23,8",1,"40,8",142800,"33986,4","25939,62",0,0,"59926,02",47.11F Hypermarchés
BESSE,117,"45,7","109,68","26,83",1,"40,8",142800,"38313,24","32629,80",0,0,"70943,04",47.11F Hypermarchés
BIOUSSAC,222,"53,18","105,94","24,62",1,"40,8",142800,"35157,36","25440,25",1,33,"60597,61",47.11F Hypermarchés
BIRAC,372,"32,39","81,8","25,46",1,"40,8",142800,"36356,88","23126,46",0,0,"59483,34",47.11F Hypermarchés
BLANZAGUET-ST-CYBARD,301,"40,86","87,05","23,8",2,"51,2",179200,"33986,4","36610,56",0,0,"70596,96",47.11F Hypermarchés
BOISBRETEAU,129,"40,02","96,98","24,81",1,"40,8",142800,"35428,68","28574,28",0,0,"64002,96",47.11F Hypermarchés
BOISNE LA TUDE,685,"47,93","87,81","23,8",1,"40,8",142800,"33986,4","34222,02",0,0,"68208,42",47.11F Hypermarchés
BONNES,383,"45,47","92,18","23,8",2,"51,2",179200,"33986,4","40741,12",0,0,"74727,52",47.11F Hypermarchés
